"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"13629","D","Taylor","Fedun","2.1","7","3300","VAN@CGY","VAN","CGY","","","",""
"8753","LW","Tanner","Glass","0.7","66","3300","NYR@CHI","NYR","CHI","","","",""
"15259","D","Frank","Corrado","-0.1","10","3300","VAN@CGY","VAN","CGY","","","",""
"8528","D","Marc","Staal","1.4","80","3300","NYR@CHI","NYR","CHI","","","",""
"9066","D","Luca","Sbisa","0.8","76","3300","VAN@CGY","VAN","CGY","","","",""
"13911","C","Marcus","Kruger","1.2","81","3300","NYR@CHI","CHI","NYR","","","",""
"14461","C","Linden","Vey","1.2","75","3300","VAN@CGY","VAN","CGY","","","",""
"8675","C","Matt","Stajan","1.2","59","3300","VAN@CGY","CGY","VAN","","","",""
"12952","D","Jake","Gardiner","1","79","3300","MON@TOR","TOR","MON","","","",""
"8580","LW","Daniel","Winnik","1.8","79","3300","MON@TOR","TOR","MON","","","",""
"8630","D","Douglas","Murray","0.2","53","3300","VAN@CGY","CGY","VAN","","","",""
"54126","D","Trevor","Van Riemsdyk","0.6","18","3300","NYR@CHI","CHI","NYR","","","",""
"15302","D","Nathan","Beaulieu","1","64","3200","MON@TOR","MON","TOR","","","",""
"54517","LW","Jacob","De La Rose","0.9","33","3200","MON@TOR","MON","TOR","","","",""
"8305","LW","Derek","Dorsett","1.8","79","3200","VAN@CGY","VAN","CGY","","","",""
"8742","LW","Viktor","Stalberg","1.5","25","3200","NYR@CHI","NYR","CHI","","","",""
"37894","LW","Jayson","Megna","0.7","12","3200","NYR@CHI","NYR","CHI","","","",""
"8395","C","Jarret","Stoll","1.3","73","3200","NYR@CHI","NYR","CHI","","","",""
"15218","D","David","Rundblad","1.5","49","3200","NYR@CHI","CHI","NYR","","","",""
"8879","LW","Shawn","Matthias","1.6","78","3200","MON@TOR","TOR","MON","","","",""
"8326","D","Stephane","Robidas","0.9","52","3200","MON@TOR","TOR","MON","","","",""
"8850","D","Deryk","Engelland","0.5","76","3200","VAN@CGY","CGY","VAN","","","",""
"11363","LW","Brandon","Bollig","0.8","62","3200","VAN@CGY","CGY","VAN","","","",""
"8527","D","Michal","Rozsival","0.8","65","3200","NYR@CHI","CHI","NYR","O","Ankle","",""
"11148","C","Paul","Byron","1.2","57","3200","VAN@CGY","CGY","VAN","DTD","Wrist","",""
"13406","D","Brenden","Dillon","0.8","80","3200","SJ@LA","SJ","LA","","","",""
"12120","D","Matt","Bartkowski","0.8","47","3200","VAN@CGY","VAN","CGY","","","",""
"8616","LW","Torrey","Mitchell","0.9","65","3200","MON@TOR","MON","TOR","","","",""
"8200","LW","Daniel","Paille","0.7","71","3100","NYR@CHI","CHI","NYR","","","",""
"9390","C","Dominic","Moore","1.5","82","3100","NYR@CHI","NYR","CHI","","","",""
"12202","RW","Andrew","Desjardins","0.9","69","3100","NYR@CHI","CHI","NYR","","","",""
"9022","D","Jeff","Schultz","0.8","9","3100","SJ@LA","LA","SJ","","","",""
"9002","RW","Richard","Panik","1.1","76","3100","MON@TOR","TOR","MON","","","",""
"14455","D","Raphael","Diaz","0.6","56","3100","NYR@CHI","NYR","CHI","","","",""
"8141","RW","Mike","Brown","0.8","12","3000","SJ@LA","SJ","LA","","","",""
"12652","LW","Michael","Bournival","1","29","3000","MON@TOR","MON","TOR","O","Concussion","",""
"8308","D","Jan","Hejda","0.7","81","3000","NYR@CHI","CHI","NYR","","","",""
"9275","LW","Kyle","Clifford","1.4","80","3000","SJ@LA","LA","SJ","","","",""
"14158","LW","Brian","Gibbons","0.9","25","3000","NYR@CHI","NYR","CHI","","","",""
"8225","LW","Brandon","Prust","1.4","82","3000","VAN@CGY","VAN","CGY","","","",""
"15264","LW","Nicklas","Jensen","0.4","5","3000","VAN@CGY","VAN","CGY","","","",""
"14184","D","Martin","Marincin","0.6","41","3000","MON@TOR","TOR","MON","","","",""
"66768","LW","Joey","Ratelle","0","0","3000","SJ@LA","SJ","LA","","","",""
"66770","D","Cavan","Fitzgerald","0","0","3000","SJ@LA","SJ","LA","","","",""
"66781","LW","Jamal","Watson","0","0","3000","MON@TOR","MON","TOR","","","",""
"66779","D","Josiah","Didier","0","0","3000","MON@TOR","MON","TOR","","","",""
"66756","LW","Andrew","Mangiapane","0","0","3000","VAN@CGY","CGY","VAN","","","",""
"66754","LW","Ryan","Lomberg","0","0","3000","VAN@CGY","CGY","VAN","","","",""
"8409","D","Matt","Greene","0.8","82","3000","SJ@LA","LA","SJ","DTD","Upperbody","",""
"66813","C","Angelo","Miceli","0","0","3000","MON@TOR","MON","TOR","","","",""
"12758","RW","Christian","Thomas","0.7","18","3000","MON@TOR","MON","TOR","","","",""
"42897","RW","Justin","Johnson","0.4","2","3000","MON@TOR","TOR","MON","","","",""
"66790","LW","Mason","Marchment","0","0","3000","VAN@CGY","CGY","VAN","","","",""
"66788","C","Nikolai","Skladnichenko","0","0","3000","MON@TOR","TOR","MON","","","",""
"66789","RW","Eric","Faille","0","0","3000","MON@TOR","TOR","MON","","","",""
"66787","D","Aiden","Jamieson","0","0","3000","MON@TOR","TOR","MON","","","",""
"66784","LW","Brandon","McNally","0","0","3000","MON@TOR","MON","TOR","","","",""
"66785","C","Markus","Eisenschmid","0","0","3000","MON@TOR","MON","TOR","","","",""
"66798","D","Guillaume","Brisebois","0","0","3000","VAN@CGY","VAN","CGY","","","",""
"66797","C","Dmitry","Zhukenov","0","0","3000","VAN@CGY","VAN","CGY","","","",""
"62493","LW","Artemi","Panarin","0","0","3000","NYR@CHI","CHI","NYR","DTD","Upperbody","",""
"12738","RW","Jordan","Nolan","0.8","60","3000","SJ@LA","LA","SJ","DTD","Ankle","",""
"8370","D","Ladislav","Smid","0.1","31","3000","VAN@CGY","CGY","VAN","DTD","Neck","",""
"21729","C","Brian","Flynn","1.1","63","3000","MON@TOR","MON","TOR","","","",""
"9087","C","Nick","Spaling","1.3","82","3000","MON@TOR","TOR","MON","","","",""
"9059","RW","Troy","Bodie","0.3","5","3000","MON@TOR","TOR","MON","","","",""
"39311","C","Nick","Shore","0.9","34","3000","SJ@LA","LA","SJ","","","",""
